시도,지역구분,차종,전체,차종,전체,차종,전체,총합,시군구,위도,경도
전남,함평군,전기승용,52,전기승용,52,전기승용,52,72,전남 함평군,35.0659399,126.5165524
전남,영광군,전기승용,112,전기승용,112,전기승용,112,152,전남 영광군,35.2771719,126.5119874
전남,장성군,전기승용,32,전기승용,32,전기승용,32,75,전남 장성군,35.3018333,126.7848541
전남,완도군,전기승용,17,전기승용,17,전기승용,17,35,전남 완도군,34.3110596,126.7550541
전남,진도군,전기승용,10,전기승용,10,전기승용,10,30,전남 진도군,34.4868712,126.2634853
전남,신안군,전기승용,58,전기승용,58,전기승용,58,86,전남 신안군,34.827332,126.101074
경북,포항시,전기승용,340,전기승용,340,전기승용,340,502,경북 포항시,36.0190178,129.3434808
경북,경주시,전기승용,196,전기승용,196,전기승용,196,337,경북 경주시,35.8561719,129.2247477
경북,김천시,전기승용,90,전기승용,90,전기승용,90,218,경북 김천시,36.1398393,128.1135947
경북,안동시,전기승용,172,전기승용,172,전기승용,172,239,경북 안동시,36.5683543,128.729357
경북,구미시,전기승용,177,전기승용,177,전기승용,177,349,경북 구미시,36.119485,128.3445734
경북,영주시,전기승용,69,전기승용,69,전기승용,69,117,경북 영주시,36.8056858,128.6240551
경북,영천시,전기승용,84,전기승용,84,전기승용,84,197,경북 영천시,35.9732915,128.9385493
경북,상주시,전기승용,73,전기승용,73,전기승용,73,200,경북 상주시,36.4109466,128.1590828
경북,문경시,전기승용,71,전기승용,71,전기승용,71,104,경북 문경시,36.586148,128.1867972
경북,경산시,전기승용,180,전기승용,180,전기승용,180,254,경북 경산시,35.8250555,128.7415441
경북,군위군,전기승용,29,전기승용,29,전기승용,29,43,경북 군위군,36.2428355,128.5727702
경북,의성군,전기승용,30,전기승용,30,전기승용,30,52,경북 의성군,36.3526576,128.6970053
경북,청송군,전기승용,31,전기승용,31,전기승용,31,57,경북 청송군,36.4359045,129.0571077
경북,영양군,전기승용,18,전기승용,18,전기승용,18,29,경북 영양군,36.6666558,129.1124007
경북,영덕군,전기승용,32,전기승용,32,전기승용,32,56,경북 영덕군,36.4150799,129.3659681
경북,청도군,전기승용,35,전기승용,35,전기승용,35,71,경북 청도군,35.6472706,128.7339107
경북,고령군,전기승용,22,전기승용,22,전기승용,22,61,경북 고령군,35.7261415,128.262953
경북,성주군,전기승용,58,전기승용,58,전기승용,58,153,경북 성주군,35.9190079,128.2829738
경북,칠곡군,전기승용,65,전기승용,65,전기승용,65,136,경북 칠곡군,35.9953059,128.4015434
경북,예천군,전기승용,37,전기승용,37,전기승용,37,65,경북 예천군,36.6577004,128.4528808
경북,봉화군,전기승용,39,전기승용,39,전기승용,39,60,경북 봉화군,36.8930933,128.7323752
경북,울진군,전기승용,34,전기승용,34,전기승용,34,55,경북 울진군,36.9930661,129.4004195
경북,울릉군,전기승용,59,전기승용,59,전기승용,59,69,경북 울릉군,37.4844171,130.9058002
경남,창원시,전기승용,1162,전기승용,1162,전기승용,1162,1450,경남 창원시,35.2279868,128.6818143
경남,진주시,전기승용,809,전기승용,809,전기승용,809,1112,경남 진주시,35.1799817,128.1076213
경남,통영시,전기승용,46,전기승용,46,전기승용,46,94,경남 통영시,34.8544227,128.433182
경남,사천시,전기승용,115,전기승용,115,전기승용,115,146,경남 사천시,35.0037788,128.064185
경남,김해시,전기승용,221,전기승용,221,전기승용,221,367,경남 김해시,35.2285451,128.8893517
경남,밀양시,전기승용,147,전기승용,147,전기승용,147,207,경남 밀양시,35.5037598,128.7464415
경남,거제시,전기승용,131,전기승용,131,전기승용,131,193,경남 거제시,34.8806427,128.6210824
경남,양산시,전기승용,445,전기승용,445,전기승용,445,686,경남 양산시,35.3350072,129.0371689
경남,의령군,전기승용,25,전기승용,25,전기승용,25,54,경남 의령군,35.3221896,128.261658
경남,함안군,전기승용,51,전기승용,51,전기승용,51,109,경남 함안군,35.2725591,128.4064797
경남,창녕군,전기승용,54,전기승용,54,전기승용,54,131,경남 창녕군,35.5445563,128.4922143
경남,고성군,전기승용,36,전기승용,36,전기승용,36,93,경남 고성군,34.973149,128.3222456
경남,남해군,전기승용,30,전기승용,30,전기승용,30,64,경남 남해군,34.8376721,127.8924234
경남,하동군,전기승용,45,전기승용,45,전기승용,45,106,경남 하동군,35.0672108,127.7512687
경남,산청군,전기승용,65,전기승용,65,전기승용,65,108,경남 산청군,35.4155885,127.8734981
경남,함양군,전기승용,26,전기승용,26,전기승용,26,50,경남 함양군,35.5204614,127.7251763
경남,거창군,전기승용,35,전기승용,35,전기승용,35,79,경남 거창군,35.6867229,127.9095155
경남,합천군,전기승용,63,전기승용,63,전기승용,63,103,경남 합천군,35.5665758,128.1657995
제주,제주특별자치도,전기승용,2790,전기승용,2790,전기승용,2790,4576,제주특별자치도,33.4890113,126.4983023
